,clump_p1,clump_r2,clump_kb,p_window_size,p_slide_size,p_LD_threshold,numberofpca,h2,numberofvariants,h2model,clumpprune,Method,Phenotype,relatedmatrix,data,Unnamed: 0.1,refset,weightset,alphamodelvalue,precomputedfile
0,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.5028196727327072,28607.8,LDpred-2_full,yes,LDpred-2-Heritability,body_mass_index_bmi,,,,,,,
1,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0338087042284189,86190.0,LDpred-2_full,no,LDpred-2-Heritability,body_mass_index_bmi,,,,,,,
2,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.2060383735572076,13432.6,LDpred-2_hapmap,yes,LDpred-2-Heritability,body_mass_index_bmi,,,,,,,
3,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1017543461201521,40257.0,LDpred-2_hapmap,no,LDpred-2-Heritability,body_mass_index_bmi,,,,,,,
4,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.5418303059127644,26594.4,LDpred-2_full,yes,LDpred-2-Heritability,hypertension,,,,,,,
5,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.0043489607629005,81475.0,LDpred-2_full,no,LDpred-2-Heritability,hypertension,,,,,,,
6,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1453736875026334,12614.2,LDpred-2_hapmap,yes,LDpred-2-Heritability,hypertension,,,,,,,
7,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0576817022449222,38277.0,LDpred-2_hapmap,no,LDpred-2-Heritability,hypertension,,,,,,,
8,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1247666454645357,150145.6,LDpred-2_full,yes,LDpred-2-Heritability,depression,,,,,,,
9,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0050377802128975,551925.0,LDpred-2_full,no,LDpred-2-Heritability,depression,,,,,,,
10,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0801001226800753,28052.6,LDpred-2_full,yes,LDpred-2-Heritability,asthma,,,,,,,
11,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0801001226800753,28052.6,LDpred-2_full,no,LDpred-2-Heritability,asthma,,,,,,,
12,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0488669177865574,6828.0,LDpred-2_hapmap,yes,LDpred-2-Heritability,asthma,,,,,,,
13,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0488669177865574,6828.0,LDpred-2_hapmap,no,LDpred-2-Heritability,asthma,,,,,,,
14,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.0117808805017803,976.6,LDpred-2_full,yes,LDpred-2-Heritability,osteoarthritis,,,,,,,
15,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-3.907558304897682e-05,1294.0,LDpred-2_full,no,LDpred-2-Heritability,osteoarthritis,,,,,,,
16,0.4,0.04,80.0,80.0,20.0,0.1,2.4,4.262973019344056e-05,218.8,LDpred-2_hapmap,yes,LDpred-2-Heritability,osteoarthritis,,,,,,,
17,0.4,0.04,80.0,80.0,20.0,0.1,2.4,3.761017491897321e-06,254.4,LDpred-2_hapmap,no,LDpred-2-Heritability,osteoarthritis,,,,,,,
18,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0268798712750419,181528.8,LDpred-2_full,yes,LDpred-2-Heritability,high_cholesterol,,,,,,,
19,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0398526417441639,575564.0,LDpred-2_full,no,LDpred-2-Heritability,high_cholesterol,,,,,,,
20,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0195793099773373,181200.4,LDpred-2_full,yes,LDpred-2-Heritability,irritable_bowel_syndrome,,,,,,,
21,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.0005154249843937,576983.0,LDpred-2_full,no,LDpred-2-Heritability,irritable_bowel_syndrome,,,,,,,
22,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1464242635838976,28790.2,LDpred-2_full,yes,LDpred-2-Heritability,hypothyroidism_myxoedema,,,,,,,
23,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0517344099825283,86545.0,LDpred-2_full,no,LDpred-2-Heritability,hypothyroidism_myxoedema,,,,,,,
24,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0751321809339023,13464.6,LDpred-2_hapmap,yes,LDpred-2-Heritability,hypothyroidism_myxoedema,,,,,,,
25,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0276093565431544,40322.0,LDpred-2_hapmap,no,LDpred-2-Heritability,hypothyroidism_myxoedema,,,,,,,
26,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0625676404335389,28778.8,LDpred-2_full,yes,LDpred-2-Heritability,gastro_oesophageal_reflux_gord_gastric_reflux,,,,,,,
27,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0003306436990993,86545.0,LDpred-2_full,no,LDpred-2-Heritability,gastro_oesophageal_reflux_gord_gastric_reflux,,,,,,,
28,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0340128296513293,13473.8,LDpred-2_hapmap,yes,LDpred-2-Heritability,gastro_oesophageal_reflux_gord_gastric_reflux,,,,,,,
29,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0078598631646651,40322.0,LDpred-2_hapmap,no,LDpred-2-Heritability,gastro_oesophageal_reflux_gord_gastric_reflux,,,,,,,
30,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.0070678730551795,148978.2,LDpred-2_full,yes,LDpred-2-Heritability,migraine,,,,,,,
31,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.00078640611636,555483.0,LDpred-2_full,no,LDpred-2-Heritability,migraine,,,,,,,
32,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0608537218609432,174077.2,LDpred-2_full,yes,LDpred-2-Heritability,SampleData1,,,,,,,
33,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0608537218609432,174077.2,LDpred-2_full,no,LDpred-2-Heritability,SampleData1,,,,,,,
34,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.6431460937717501,35034.6,LDpred-2_hapmap,yes,LDpred-2-Heritability,SampleData1,,,,,,,
35,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.6431460937717501,35034.6,LDpred-2_hapmap,no,LDpred-2-Heritability,SampleData1,,,,,,,
36,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.3930536,28606.8,GCTA_genotype,yes,GCTA-Heritability,body_mass_index_bmi,,,,,,,
37,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.6591468,619652.0,GCTA_genotype,no,GCTA-Heritability,body_mass_index_bmi,,,,,,,
