Phenotype,Method,h2model,clumpprune,numberofpca,n_folds,mean_h2,std_h2,median_h2,min_h2,max_h2,CV,fold_SE,CI_lower_fold,CI_upper_fold,SNR_fold,significant_fold,tool_SE_mean,tool_SE_std,tool_SE_min,tool_SE_max,n_folds_with_tool_SE,CI_lower_tool,CI_upper_tool,SNR_tool,significant_tool,mean_variants
asthma,DPR-Gemma-Heritability,HE regression_centered_genotype,no,6,5,-0.0267,0.4141,0.1227,-0.5213,0.4927,15.4836,0.1852,-0.3897,0.3362,-0.1444,No,0.4656,0.0429,0.4216,0.5244,5,-0.9394,0.8859,-0.0574,No,598477.6
asthma,DPR-Gemma-Heritability,HE regression_centered_genotype,yes,6,5,-0.473,0.2459,-0.5323,-0.7015,-0.1535,0.5198,0.11,-0.6886,-0.2575,-4.3017,No,0.3404,0.0097,0.3263,0.3497,5,-1.1402,0.1941,-1.3896,No,27296.6
asthma,DPR-Gemma-Heritability,HE regression_centered_genotype_covariate,no,6,5,0.3373,0.3253,0.4315,-0.1198,0.7452,0.9644,0.1455,0.0522,0.6225,2.3186,Yes,0.5784,0.0636,0.4668,0.6258,5,-0.7963,1.471,0.5832,No,598477.6
asthma,DPR-Gemma-Heritability,HE regression_centered_genotype_covariate,yes,6,5,-0.5381,0.1479,-0.5952,-0.716,-0.3736,0.2748,0.0661,-0.6677,-0.4085,-8.1377,No,0.3342,0.0189,0.3036,0.3495,5,-1.1932,0.117,-1.61,No,27296.6
asthma,DPR-Gemma-Heritability,HE regression_centered_genotype_covariate_pca,no,6,5,0.423,0.338,0.5196,-0.0159,0.8385,0.7992,0.1512,0.1267,0.7192,2.7979,Yes,0.6161,0.0753,0.497,0.6902,5,-0.7846,1.6305,0.6865,No,598477.6
asthma,DPR-Gemma-Heritability,HE regression_centered_genotype_covariate_pca,yes,6,5,-0.4352,0.1699,-0.4958,-0.5951,-0.2175,0.3903,0.076,-0.5841,-0.2863,-5.7288,No,0.3165,0.056,0.2338,0.3662,5,-1.0556,0.1852,-1.375,No,22744.4
asthma,DPR-Gemma-Heritability,HE regression_standardized_genotype,no,6,5,-0.1158,0.66,0.1292,-1.0511,0.5274,5.6995,0.2952,-0.6943,0.4627,-0.3923,No,0.7027,0.0397,0.6535,0.7486,5,-1.493,1.2614,-0.1648,No,598477.6
asthma,DPR-Gemma-Heritability,HE regression_standardized_genotype,yes,6,5,-0.5352,0.2899,-0.6145,-0.8839,-0.1947,0.5417,0.1297,-0.7894,-0.2811,-4.1279,No,0.3771,0.0077,0.3664,0.3851,5,-1.2744,0.2039,-1.4194,No,27296.6
asthma,DPR-Gemma-Heritability,HE regression_standardized_genotype_covariate,no,6,5,0.3299,0.6524,0.539,-0.7368,0.9199,1.9774,0.2918,-0.2419,0.9018,1.1308,No,0.8312,0.1362,0.5998,0.9602,5,-1.2993,1.9592,0.3969,No,598477.6
asthma,DPR-Gemma-Heritability,HE regression_standardized_genotype_covariate,yes,6,5,-0.5049,0.1668,-0.5515,-0.7207,-0.3011,0.3305,0.0746,-0.6511,-0.3587,-6.7667,No,0.3694,0.0186,0.3435,0.3909,5,-1.2289,0.2191,-1.3669,No,27296.6
asthma,DPR-Gemma-Heritability,HE regression_standardized_genotype_covariate_pca,no,6,5,0.4724,0.6758,0.7085,-0.6342,1.082,1.4305,0.3022,-0.12,1.0648,1.5631,No,0.8864,0.1534,0.6322,1.0342,5,-1.2649,2.2098,0.533,No,598477.6
asthma,DPR-Gemma-Heritability,HE regression_standardized_genotype_covariate_pca,yes,6,5,-0.4841,0.1527,-0.5506,-0.6384,-0.26,0.3155,0.0683,-0.6179,-0.3502,-7.0883,No,0.3785,0.0242,0.3392,0.4053,5,-1.226,0.2578,-1.2788,No,27296.6
asthma,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype,no,6,5,0.206,0.2699,0.1656,0.0005,0.6596,1.3105,0.1207,-0.0306,0.4426,1.7063,No,0.5763,0.0158,0.5586,0.5982,5,-0.9235,1.3355,0.3575,No,598477.6
asthma,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype,yes,6,5,0.0044,0.0064,0.0001,0.0001,0.0147,1.475,0.0029,-0.0013,0.01,1.516,No,0.3563,0.0111,0.3465,0.3709,5,-0.694,0.7027,0.0122,No,27296.6
asthma,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype_covariate,no,6,5,0.4957,0.3749,0.6101,0.0353,0.9554,0.7564,0.1677,0.167,0.8243,2.9563,Yes,0.7695,0.0382,0.7132,0.8076,5,-1.0127,2.004,0.6441,No,598477.6
asthma,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype_covariate,yes,6,5,0.0023,0.0026,0.0013,0.0002,0.0064,1.1344,0.0012,0.0,0.0046,1.9712,Yes,0.4703,0.0151,0.4521,0.4931,5,-0.9195,0.9241,0.0049,No,27296.6
asthma,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype_covariate_pca,no,6,5,0.5394,0.3893,0.6561,0.0576,0.9775,0.7216,0.1741,0.1982,0.8806,3.0986,Yes,0.7808,0.0343,0.7369,0.8192,5,-0.991,2.0698,0.6908,No,598477.6
asthma,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype_covariate_pca,yes,6,5,0.0032,0.0042,0.001,0.0002,0.0103,1.3175,0.0019,-0.0005,0.0068,1.6972,No,0.4796,0.0169,0.4566,0.498,5,-0.9369,0.9432,0.0066,No,27296.6
asthma,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype,no,6,5,0.2464,0.2312,0.1502,0.0343,0.5791,0.9385,0.1034,0.0437,0.4491,2.3827,Yes,0.7881,0.0205,0.7703,0.8168,5,-1.2983,1.7911,0.3126,No,598477.6
asthma,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype,yes,6,5,0.0188,0.0189,0.0088,0.0009,0.044,1.0022,0.0084,0.0023,0.0354,2.2312,Yes,0.3864,0.0085,0.377,0.3972,5,-0.7385,0.7762,0.0487,No,27296.6
asthma,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype_covariate,no,6,5,0.5422,0.4003,0.632,0.0486,0.9928,0.7383,0.179,0.1914,0.8931,3.0288,Yes,1.0494,0.0281,1.0073,1.0836,5,-1.5145,2.599,0.5167,No,598477.6
asthma,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype_covariate,yes,6,5,0.0181,0.0135,0.0133,0.0073,0.0412,0.7449,0.006,0.0063,0.03,3.002,Yes,0.5141,0.0187,0.4877,0.5356,5,-0.9895,1.0257,0.0353,No,27296.6
asthma,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,no,6,5,0.5989,0.3598,0.7637,0.0732,0.9143,0.6008,0.1609,0.2835,0.9142,3.722,Yes,1.0663,0.0225,1.0433,1.101,5,-1.4912,2.6889,0.5616,No,598477.6
asthma,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,yes,6,5,0.0217,0.0143,0.0165,0.0104,0.0456,0.6589,0.0064,0.0092,0.0342,3.3939,Yes,0.5264,0.0215,0.4982,0.5465,5,-1.0099,1.0534,0.0412,No,27296.6
asthma,GCTA-Heritability,GCTA_genotype,no,6,5,0.201,0.23,0.1273,0.0,0.5167,1.144,0.1028,-0.0005,0.4026,1.9547,No,0.7851,0.0138,0.7702,0.8021,5,-1.3377,1.7397,0.256,No,619653.0
asthma,GCTA-Heritability,GCTA_genotype,yes,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Yes,0.3852,0.0075,0.3772,0.396,5,-0.7551,0.7551,0.0,No,28077.0
asthma,GCTA-Heritability,GCTA_genotype_covariate,no,6,5,0.5463,0.444,0.6963,0.0,1.0,0.8126,0.1985,0.1572,0.9355,2.7516,Yes,1.0476,0.0296,1.0056,1.0851,5,-1.5069,2.5996,0.5215,No,619653.0
asthma,GCTA-Heritability,GCTA_genotype_covariate,yes,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Yes,0.5176,0.0198,0.4906,0.5375,5,-1.0144,1.0144,0.0,No,28077.0
asthma,GCTA-Heritability,GCTA_genotype_covariate_pca,no,6,5,0.6288,0.4473,0.8199,0.0,1.0,0.7113,0.2,0.2368,1.0209,3.1436,Yes,1.0642,0.0263,1.0405,1.1043,5,-1.457,2.7147,0.5909,No,619653.0
asthma,GCTA-Heritability,GCTA_genotype_covariate_pca,yes,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Yes,0.5302,0.0228,0.5018,0.5488,5,-1.0393,1.0393,0.0,No,28077.0
asthma,Gemma1-Heritability,HE regression_centered_genotype,no,6,4,-0.0696,0.4651,-0.1249,-0.5213,0.4927,6.6787,0.2326,-0.5254,0.3862,-0.2995,No,0.4628,0.049,0.4216,0.5244,4,-0.9767,0.8375,-0.1505,No,598372.25
asthma,Gemma1-Heritability,HE regression_centered_genotype,yes,6,4,-0.5201,0.2566,-0.6128,-0.7015,-0.1535,0.4932,0.1283,-0.7716,-0.2687,-4.0548,No,0.3439,0.0065,0.3348,0.3497,4,-1.1942,0.1539,-1.5124,No,27290.5
asthma,Gemma1-Heritability,HE regression_centered_genotype_covariate,no,6,4,0.3084,0.3682,0.3041,-0.1198,0.7452,1.1937,0.1841,-0.0524,0.6692,1.6754,No,0.5665,0.0667,0.4668,0.6081,4,-0.802,1.4188,0.5444,No,598372.25
asthma,Gemma1-Heritability,HE regression_centered_genotype_covariate,yes,6,4,-0.5793,0.1337,-0.6027,-0.716,-0.3956,0.2308,0.0668,-0.7103,-0.4482,-8.6656,No,0.3307,0.0198,0.3036,0.3495,4,-1.2274,0.0689,-1.7516,No,27290.5
asthma,Gemma1-Heritability,HE regression_centered_genotype_covariate_pca,no,6,4,0.3822,0.3759,0.3531,-0.0159,0.8385,0.9834,0.1879,0.0138,0.7506,2.0337,Yes,0.5976,0.0726,0.497,0.6674,4,-0.7891,1.5535,0.6396,No,598372.25
asthma,Gemma1-Heritability,HE regression_centered_genotype_covariate_pca,yes,6,4,-0.5552,0.1924,-0.5454,-0.7948,-0.335,0.3465,0.0962,-0.7437,-0.3667,-5.7723,No,0.3386,0.0296,0.2974,0.3604,4,-1.2188,0.1084,-1.6397,No,27290.5
asthma,Gemma1-Heritability,HE regression_standardized_genotype,no,6,4,-0.2325,0.7,-0.2031,-1.0511,0.5274,3.0113,0.35,-0.9185,0.4536,-0.6642,No,0.6961,0.0425,0.6535,0.7486,4,-1.5968,1.1318,-0.334,No,598372.25
asthma,Gemma1-Heritability,HE regression_standardized_genotype,yes,6,4,-0.5988,0.2918,-0.6583,-0.8839,-0.1947,0.4874,0.1459,-0.8848,-0.3128,-4.1037,No,0.3798,0.0056,0.3727,0.3851,4,-1.3431,0.1456,-1.5767,No,27290.5
asthma,Gemma1-Heritability,HE regression_standardized_genotype_covariate,no,6,4,0.2311,0.7087,0.3706,-0.7368,0.9199,3.0675,0.3544,-0.4635,0.9256,0.652,No,0.799,0.1335,0.5998,0.8816,4,-1.335,1.7971,0.2892,No,598372.25
asthma,Gemma1-Heritability,HE regression_standardized_genotype_covariate,yes,6,4,-0.5558,0.1408,-0.5627,-0.7207,-0.3772,0.2532,0.0704,-0.6938,-0.4179,-7.8983,No,0.364,0.0164,0.3435,0.3782,4,-1.2693,0.1576,-1.5271,No,27290.5
asthma,Gemma1-Heritability,HE regression_standardized_genotype_covariate_pca,no,6,4,0.3735,0.7374,0.523,-0.6342,1.082,1.9744,0.3687,-0.3491,1.0961,1.013,No,0.8494,0.1492,0.6322,0.9673,4,-1.2914,2.0384,0.4396,No,598372.25
asthma,Gemma1-Heritability,HE regression_standardized_genotype_covariate_pca,yes,6,4,-0.4148,0.2642,-0.5338,-0.5718,-0.0199,0.637,0.1321,-0.6738,-0.1559,-3.1397,No,0.3276,0.0703,0.24,0.3856,4,-1.0568,0.2272,-1.2664,No,20349.75
asthma,Gemma1-Heritability,REML AI algorithm_centered_genotype,no,6,4,0.2068,0.3117,0.0835,0.0005,0.6596,1.5073,0.1558,-0.0987,0.5123,1.3269,No,0.5795,0.0163,0.5586,0.5982,4,-0.9291,1.3426,0.3568,No,598372.25
asthma,Gemma1-Heritability,REML AI algorithm_centered_genotype,yes,6,4,0.0038,0.0073,0.0001,0.0001,0.0147,1.9293,0.0036,-0.0034,0.0109,1.0366,No,0.3527,0.0087,0.3465,0.3649,4,-0.6874,0.695,0.0107,No,27290.5
asthma,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate,no,6,4,0.4488,0.4157,0.4023,0.0353,0.9554,0.9261,0.2078,0.0415,0.8562,2.1595,Yes,0.7624,0.0401,0.7132,0.8076,4,-1.0456,1.9432,0.5887,No,598372.25
asthma,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate,yes,6,4,0.0013,0.0014,0.0008,0.0002,0.0033,1.1315,0.0007,-0.0001,0.0027,1.7676,No,0.4646,0.0094,0.4521,0.4743,4,-0.9094,0.9119,0.0027,No,27290.5
asthma,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate_pca,no,6,4,0.4766,0.4192,0.4356,0.0576,0.9775,0.8796,0.2096,0.0658,0.8873,2.2739,Yes,0.7734,0.0348,0.7369,0.8192,4,-1.0394,1.9925,0.6162,No,598372.25
asthma,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate_pca,yes,6,4,0.0014,0.0015,0.0009,0.0002,0.0036,1.0942,0.0008,-0.0001,0.0029,1.8278,No,0.475,0.0155,0.4566,0.4941,4,-0.9297,0.9325,0.0029,No,27290.5
asthma,Gemma1-Heritability,REML AI algorithm_standardized_genotype,no,6,4,0.2105,0.2504,0.1142,0.0343,0.5791,1.1896,0.1252,-0.0349,0.4558,1.6812,No,0.7926,0.0207,0.7744,0.8168,4,-1.343,1.7639,0.2655,No,598372.25
asthma,Gemma1-Heritability,REML AI algorithm_standardized_genotype,yes,6,4,0.0151,0.0195,0.0078,0.0009,0.044,1.2945,0.0098,-0.0041,0.0343,1.545,No,0.3837,0.007,0.377,0.3935,4,-0.737,0.7672,0.0394,No,27290.5
asthma,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate,no,6,4,0.472,0.4252,0.4233,0.0486,0.9928,0.9008,0.2126,0.0553,0.8887,2.2202,Yes,1.0479,0.0322,1.0073,1.0836,4,-1.5819,2.5259,0.4504,No,598372.25
asthma,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate,yes,6,4,0.0124,0.0046,0.012,0.0073,0.0182,0.3703,0.0023,0.0079,0.0168,5.4008,Yes,0.5087,0.0165,0.4877,0.5241,4,-0.9847,1.0094,0.0243,No,27290.5
asthma,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,no,6,4,0.3797,0.3537,0.2928,0.0732,0.8601,0.9316,0.1769,0.0331,0.7264,2.1469,Yes,1.0666,0.0276,1.0338,1.101,4,-1.7108,2.4702,0.356,No,598372.25
asthma,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,yes,6,4,0.017,0.0135,0.0145,0.0036,0.0356,0.7942,0.0068,0.0038,0.0303,2.5181,Yes,0.5095,0.0134,0.4982,0.5286,4,-0.9815,1.0156,0.0334,No,26153.0
asthma,Gemma2-Heritability,HE regression_genotype,no,6,5,0.0261,0.0002,0.0261,0.0259,0.0264,0.0077,0.0001,0.0259,0.0263,289.8744,Yes,0.0041,0.0001,0.004,0.0042,5,0.018,0.0341,6.3652,Yes,81159.8
asthma,Gemma2-Heritability,HE regression_genotype,yes,6,5,0.0359,0.0003,0.036,0.0355,0.0364,0.0092,0.0001,0.0356,0.0362,242.8328,Yes,0.0047,0.0003,0.0043,0.005,5,0.0266,0.0452,7.5861,Yes,27198.2
asthma,Gemma2-Heritability,HE regression_genotype_covariate,no,6,5,0.0261,0.0002,0.026,0.0259,0.0263,0.0058,0.0001,0.0259,0.0262,388.4619,Yes,0.0161,0.0003,0.0156,0.0165,5,-0.0055,0.0577,1.6161,No,81159.8
asthma,Gemma2-Heritability,HE regression_genotype_covariate,yes,6,5,0.0356,0.0005,0.0357,0.0351,0.0363,0.0128,0.0002,0.0352,0.036,174.1724,Yes,0.0218,0.0003,0.0215,0.0222,5,-0.0071,0.0784,1.6334,No,27198.2
asthma,Gemma2-Heritability,HE regression_genotype_covariate_pca,no,6,5,0.0264,0.0002,0.0264,0.0261,0.0267,0.0085,0.0001,0.0262,0.0266,263.5745,Yes,0.0165,0.0004,0.0159,0.017,5,-0.006,0.0587,1.5967,No,81159.8
asthma,Gemma2-Heritability,HE regression_genotype_covariate_pca,yes,6,5,0.0363,0.0005,0.0364,0.0358,0.037,0.0132,0.0002,0.0359,0.0367,168.9854,Yes,0.0226,0.0004,0.0222,0.0231,5,-0.0081,0.0807,1.6021,No,27198.2
asthma,LDAK-Calculated-Heritability,LDAK_BLD-LDAK_yes,yes,6,5,0.0361,0.0007,0.036,0.0352,0.037,0.0191,0.0003,0.0355,0.0367,117.3015,Yes,0.0014,0.0,0.0013,0.0014,5,0.0335,0.0388,26.5889,Yes,10321.2
asthma,LDAK-Calculated-Heritability,LDAK_GCTA_yes,yes,6,5,0.0361,0.0007,0.036,0.0352,0.037,0.0191,0.0003,0.0355,0.0367,117.3015,Yes,0.0014,0.0,0.0013,0.0014,5,0.0335,0.0388,26.5889,Yes,10321.2
asthma,LDAK-Calculated-Heritability,LDAK_alpha_-0.5_yes,yes,6,5,0.0353,0.0007,0.0352,0.0343,0.0362,0.0208,0.0003,0.0346,0.0359,107.3162,Yes,0.0014,0.0,0.0014,0.0014,5,0.0326,0.038,25.8159,Yes,10321.2
asthma,LDAK-Calculated-Heritability,LDAK_alpha_0.0_yes,yes,6,5,0.0334,0.0008,0.0333,0.0323,0.0343,0.0231,0.0003,0.0327,0.034,97.0083,Yes,0.0014,0.0,0.0013,0.0014,5,0.0307,0.036,24.6664,Yes,10321.2
asthma,LDAK-Calculated-Heritability,LDAK_alpha_0.5_yes,yes,6,5,0.0316,0.0008,0.0315,0.0306,0.0325,0.0247,0.0003,0.0309,0.0323,90.5843,Yes,0.0013,0.0,0.0013,0.0013,5,0.029,0.0342,23.7885,Yes,10321.2
